"id","cnpj","natureza_juridica","razao_social","data_inicio_atividades","data_situacao_cadastral","data_situacao_especial","motivo_situacao_cadastral","situacao_cadastral","situacao_especial","nome_fantasia"
1576,"09595691000198","1210",CONSORCIO PUBLICO INTERMUNICIPAL PARA O FORTALECIMENTO DA PRODUCAO E COMERCIALIZACAO DE PRODUTOS HORTIGRANJEIROS - COINTER,"20080526","20080526","","00","02","",CEASA NOROESTE
1480,"10984874000184","1210",CONSORCIO PUBLICO DOS MUNICIPIOS DO PROCAXIAS,"20090606","20090606","","00","02","",COMPRO
1511,"11881350000120","1210","CONSORCIO PUBLICO INTERMUNICIPAL DE ATENCAO A SANIDADE AGROPECUARIA, DESENVOLVIMENTO RURAL E URBANO SUSTENTAVEL DA REGIAO CENTRAL DO ESTADO DO P","20100429","20100429","","00","02","",CID CENTRO
1293,"15449632000104","1210",CONSORCIO INTERMUNICIPAL PARA GESTAO DE RESIDUOS SOLIDOS E GESTAO AMBIENTAL INTEGRADA,"20120215","20201109","","00","02","",CONSORCIO INTERMUNICIPAL DELTA DO TOCANTINS
1165,"18694089000107","1210",CONSORCIO INTERMUNICIPAL DO VALE DO RIO GAVIAO - CIVALERG,"20130422","20130422","","00","02","",CIVALERG
1484,"26042718000134","1210",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE  DO EXTREMO SUL DA BAHIA,"20160503","20160503","","00","02","",CONSAUDE
1284,"28720927000115","1210",CONSORCIO INTERMUNICIPAL PARA CUIDADOS DE CRIANCAS E ADOLESCENTES EM RISCO FAMILIAR DA COMARCA DE SANTA MARIA DO SUACUI - CIALAR,"20170915","20170915","","00","02","",CIALAR
1215,"34629547000172","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA AMREC - CIM-AMREC,"20190806","20190806","","00","02","",CIM-AMREC
1498,"35682888000174","1210",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA REGIAO DE SALVADOR,"20190805","20220222","","00","02","",CONS. PUB. INTER. DE SAUDE BAIA DE TODOS OS SANTOS
1448,"35725178000184","1210",CONSORCIO PUBLICO DE MANEJO DOS RESIDUOS SOLIDOS DO VALE DO JAGUARIBE - UNIDADE II,"20190618","20190618","","00","02","",CONVALE
1437,"44783161000174","1228",CONSORCIO PUBLICO DE MANEJO DE RESIDUOS SOLIDOS DO LITORAL OESTE - CORSOLO,"20211210","20211210","","00","02","",CORSOLO
1556,"46629750000128","1210",CONSORCIO PUBLICO INTERMUNICIPAL DE SEGURANCA PUBLICA DA PARAIBA - UNISEG,"20220516","20240924","","00","02","",UNISEG
1557,"49415044000171","1210",CONSORCIO PUBLICO INTERMUNICIPAL DE SERVICO DE INSPECAO E DESENVOLVIMENTO RURAL E ECONOMICO DAS REGIOES DO BREJO ZONA DA MATA E AGRESTE PARAIBAN,"20230106","20230106","","00","02","",""
1315,"53648896000186","1210",CONSORCIO INTERMUNICIPAL PARA O DESENVOLVIMENTO DO VALE DO MUCURI - CIDMUCURI,"20230919","20230919","","00","02","",""
1183,"02156942000199","1210","CONSORCIO INTERMUNICIPAL DOS MUNICIPIOS DE QUEVEDOS, JARI,SAO MARTINHO DA SERRA E TOROPI","19971008","20210302","","00","02","",""
1280,"04555113000104","1210",CONSORCIO INTERMUNICIPAL PARA CONSERVACAO DA BIODIVERSIDADE DA BACIA DOS RIOS XAMBRE E PIQUIRI,"20010430","20051103","","00","02","",CIBAX
1106,"44846160000121","1210",CONSORCIO INTERMUNICIPAL DE TELEVISAO S NEGRA COINTE,"19720228","20100515","","00","02","",COINTE
1155,"09654487000109","1210",CONSORCIO INTERMUNICIPAL DO TREM REPUBLICANO,"20080626","20080626","","00","02","",CITREM
1393,"14688861000119","1210",CONSORCIO INTERMUNICIPAL VELHO CORONEL - CVC,"20111031","20111031","","00","02","",CONSORCIO INTERMUNICIPAL VELHO CORONEL
1219,"21512443000131","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA MICRORREGIAO DO ALTO SAPUCAI - CIMASP,"20141127","20191107","","00","02","",CIMASP
1591,"13461204000252","1210",CONSORCIO PUBLICO PARA O DESENVOLVIMENTO SUSTENTAVEL DA REGIAO SUL DO ESTADO E. SANTO - CONDESUL/ES,"20180227","20180227","","00","02","",""
1120,"36580300000134","1210",CONSORCIO INTERMUNICIPAL DO CENTRO DO ESTADO DE SAO PAULO - CICESP,"20180911","20180911","","00","02","",CONSORCIO CICESP
1603,"35590891000168","1210",CONSORCIO REGIONAL DE RESIDUOS DO ALTO JAGUARIBE - CORRAJ,"20190923","20190923","","00","02","",CORRAJ
1221,"43109606000172","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA REGIAO DA AMAI - CIM AMAI,"20191127","20191127","","00","02","",CIM AMAI
1504,"32077528000155","1210",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DE SENHOR DO BONFIM,"20181108","20181108","","00","02","",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE
